id ra dec z_peak lmass SFR_tot
26008 150.01103 1.7628088 1.9212 10.79 6.667
26034 150.01151 1.7632776 1.8932 10.25 54.562
26122 149.90123 1.7647191 2.039 10.16 20.851
26271 150.20107 1.7663103 2.1588 10.35 4.46
26315 150.30273 1.7673106 1.886 10.06 0.716
26420 150.02042 1.7683573 2.002 10.15 0.49
26453 150.22723 1.7686878 1.8019 10.71 56.087
26481 150.04391 1.7687505 1.8275 10.36 109.577
26559 150.32874 1.7703511 2.1072 10.72 0.377
26609 150.02158 1.7713805 1.8782 10.06 17.848
26675 150.36794 1.7698056 1.9349 11.03 209.138
26689 150.16217 1.7718446 1.8497 10.19 67.576
26705 150.2513 1.7720026 1.9101 10.47 106.987
26759 150.2802 1.7736754 2.0848 10.04 0.323
26766 149.90894 1.7732387 2.1697 10.63 146.966
26791 150.28802 1.7740375 2.1681 10.45 2.292
26815 150.01459 1.7745908 2.0312 10.04 10.249
26869 150.35126 1.7740669 1.9832 10.62 6.519
26892 149.97812 1.7745177 2.0997 10.85 124.672
26981 150.34508 1.7764556 2.1253 10.11 71.508
27029 150.16325 1.7765993 1.9705 10.37 43.483
27053 150.2186 1.7773695 1.9717 10.63 76.362
27055 150.03841 1.7769965 1.8145 10.73 128.686
27215 150.21017 1.7794775 1.8934 10.54 38.987
27286 150.32278 1.78062 2.1252 10.39 1.61
27301 150.03807 1.7805502 1.8036 10.63 4.221
27389 150.05508 1.7817022 2.1191 10.63 51.997
27404 149.9521 1.7821467 2.1525 10.63 159.116
27520 149.91193 1.7838691 1.8158 10.02 22.229
27524 150.1431 1.7832639 1.9298 10.34 61.745
27607 149.91302 1.7849857 2.0163 10.22 75.823
